Source_Text,Target_Language,Target_Text
Thank you very much.,Luganda,Webale nnyo
The patient needs medicine,Lusoga,Omulwaire yetaaga obulezi
Welcome,Luganda,Tukwaniriza
School begins tomorrow,Runyankole,Eishomero niritandika nyencakare
Good morning,Luganda,Wasuze otya
Thank you,Lusoga,Webale
Open the door,Ateso,Buka ebwogo.
The road is bad,Runyankole,Oruguto nirubi
This park has many animals,Lugbara,Jeredigada anakpaki minji
This park has many animals,Acholi,Kabedo pa lee ni tye ki lee mapol
Good morning,Acholi,Icoo Maber
The patient needs medicine,Acholi,Latwo ni mito yat
Welcome,Lugbara,Ma ai mira
Thank you,Runyankole,Webare
The crops are ready,Luganda,Ebirime bikuze
Thank you,Luganda,Webale
This park has many animals,Lusoga,Paaka eno elina ensolo kamaala
The crops are ready,Ateso,Ebaret ekeda aiyare.
Open the door,Runyankole,Yigura orwigyi
The road is bad,Ateso,Ebarabara ekeda aiboroit.
The crops are ready,Runyankole,Ebihingwa byahaire
The road is bad,Lusoga,Oluguudo lubi
Welcome,Rukiga,Twakwakiira
The patient needs medicine,Lugbara,Ba azoruri le aro
Wash your hands,Runyankole,Naba engaro
We are going home,Runyankole,Nitugyenda omuka
Welcome,Acholi,Wa joli
School begins tomorrow,Lugbara,Sukulu la ido dusi
Wash your hands,Ateso,Elota akani
The patient needs medicine,Rukiga,Omurwaire nayetenga embazi
Wash your hands,Rukiga,Naaba engaro zaawe
School begins tomorrow,Rukiga,Eishomero niritandika nyencakare
We are going home,Rukiga,Turiyo nituza omuka
Wash your hands,Lugbara,Mi uji midriki
School begins tomorrow,Lusoga,Eisomero litandika idho
Good morning,Rukiga,Bwashesha gye
The market is busy today,Rukiga,Akatare kijwire erizoba
Thank you,Rukiga,Webare
The road is bad,Luganda,Ekkubo libi
This park has many animals,Ateso,Epu eitur awujo
Open the door,Luganda,Ggulawo oluggi
The crops are ready,Acholi,Jami ma ki pito dong tye atera
We are going home,Ateso,Alototo oire
School begins tomorrow,Acholi,Gang Kwan obi cake diki
Thank you,Ateso,Eyalama noi.
The market is busy today,Runyankole,Akatare kari omu kazi erizooba
The crops are ready,Lugbara,Nyaka afukibo
Wash your hands,Luganda,Naaba emikono gyo
The road is bad,Acholi,Gudu ni rac
Thank you,Acholi,Apwoyo
Welcome,Runyankole,Twakushemererwa
Wash your hands,Acholi,Lwok cingi
We are going home,Lugbara,Ama mu akuwa
This park has many animals,Runyankole,Irindiro ryenyamaiswa ririmu enyamaiswa nyingi
The crops are ready,Lusoga,Ebisimbe byatuuka
We are going home,Lusoga,Tuli kugya waka
The road is bad,Lugbara,Njila unji
The market is busy today,Lusoga,Akatale kalimu abantu kamala olwalelo
The market is busy today,Luganda,Akatale kaliimu abantu bangi leero
School begins tomorrow,Ateso,Egenu esomero emoi
We are going home,Acholi,Watye ka dok gang
Wash your hands,Lusoga,Naaba engalo dho
Good morning,Ateso,Ber otingela.
Welcome,Ateso,Ijalama anyin
Open the door,Lusoga,Igulawo olwigi
Welcome,Lusoga,Tusangaile
Open the door,Lugbara,Indi kati
The patient needs medicine,Ateso,Ekotosi adeka ekia
This park has many animals,Luganda,Paaka eno erimu ensolo nyingi
School begins tomorrow,Luganda,Essomero litandika enkya
The market is busy today,Acholi,Cuk tye ka tic matek tin
The patient needs medicine,Luganda,Omulwadde yeetaaga eddagala
The market is busy today,Lugbara,Su fi andu
Good morning,Lugbara,Mi afu ngoni
Open the door,Rukiga,Yaigura orwigi
The market is busy today,Ateso,Ipu etunya osokoni
Good morning,Lusoga,Wasuze otya
Thank you,Lugbara,Awodifo
Open the door,Acholi,Yab doggola
Good morning,Runyankole,Oraire ota
The road is bad,Rukiga,Oruguuto nirubi
This park has many animals,Rukiga,Paaka egi erimu enyamaishwa nyingyi
We are going home,Luganda,Tugenda waka
The crops are ready,Rukiga,Ebihingwa byezire
The patient needs medicine,Runyankole,Omurwire nayenda omubazi
Thank you,Acholi,Apwoya wun weng
Good morning,Runyankole,Oreiregye
This park has many animals,Rukiga,Paaka egi erimu ebinyamaiswa bingi
Wash your hands,Runyankole,Naba engaro zaawe
Good morning,Acholi,Wu coo Maber
