Sentence_ID,Source_Language,Target_Language,Source_Text,Target_Text,Domain,Sentence_Length,Translation_Quality,Speaker_Region,Formality
S0001,English,Luganda,Thank you very much.,[Luganda translation] Webale nnyo,Daily Conversation,4,High,Eastern,Formal
S0002,English,Lusoga,The patient needs medicine,[Lusoga translation] Omulwaire yetaaga obulezi,Health,4,High,Central,Informal
S0003,English,Luganda,Welcome,[Luganda translation] Tukwaniriza,Tourism,1,High,Western,Informal
S0004,English,Runyankole,School begins tomorrow,[Runyankore translation] Eishomero niritandika nyencakare,Education,3,High,West Nile,Formal
S0005,English,Luganda,Good morning,[Luganda translation] Wasuze otya,Business,2,High,Eastern,Formal
S0006,English,Lusoga,Thank you,[Lusoga translation] Webale,Agriculture,2,High,Western,Formal
S0007,English,Ateso,Open the door,[Ateso translation] Buka ebwogo.,Business,3,High,Eastern,Formal
S0008,English,Runyankole,The road is bad,[Runyankole translation] Oruguto nirubi,Business,4,High,Eastern,Informal
S0009,English,Lugbara,This park has many animals,[Lugbara translation] Jeredigada anakpaki minji,Tourism,5,High,Central,Formal
S0010,English,Acholi,This park has many animals,[Acholi translation] Kabedo pa lee ni tye ki lee mapol,Tourism,5,High,Western,Informal
S0011,English,Acholi,Good morning,[Acholi translation] Icoo Maber,Daily Conversation,2,High,Central,Informal
S0012,English,Acholi,The patient needs medicine,[Acholi translation] Latwo ni mito yat,Health,4,High,West Nile,Formal
S0013,English,Lugbara,Welcome,[Lugbara translation] Ma ai mira,Daily Conversation,1,High,Western,Formal
S0014,English,Runyankole,Thank you,[Runyankole translation] Webale,Daily Conversation,2,High,Eastern,Formal
S0015,English,Luganda,The crops are ready,[Luganda translation] Ebirime bikuze,Agriculture,4,High,Eastern,Informal
S0016,English,Luganda,Thank you,[Luganda translation] Webale,Health,2,High,Central,Formal
S0017,English,Lusoga,This park has many animals,[Lusoga translation] Paaka eno elina ensolo kamaala,Tourism,5,High,West Nile,Informal
S0018,English,Ateso,The crops are ready,[Ateso translation] Ebaret ekeda aiyare.,Agriculture,4,High,West Nile,Informal
S0019,English,Runyankole,Open the door,[Runyankole translation] Yigura orwigyi,Daily Conversation,3,High,West Nile,Formal
